Rc Rg Za current
7.0 3.98 8.5 1598.24
7.0 3.98 9.0 1340.7895
7.0 3.98 9.5 1143.0727
7.0 3.98 10.0 987.4663
7.0 3.98 10.5 863.307
7.0 3.98 11.0 762.3734
7.2 1.98 7.0 1663.1137
7.2 1.98 7.5 1255.7879
7.2 1.98 8.0 981.886
7.2 1.98 8.5 791.2755
7.2 1.98 9.0 651.0132
7.2 1.98 9.5 548.62
7.2 1.98 10.0 470.658
7.2 1.98 10.5 409.7412
7.2 1.98 11.0 360.9036
7.2 2.08 7.0 1729.1691
7.2 2.08 7.5 1308.6456
7.2 2.08 8.0 1025.6868
7.2 2.08 8.5 827.5975
7.2 2.08 9.0 680.9286
7.2 2.08 9.5 574.602
7.2 2.08 10.0 493.6126
7.2 2.08 10.5 429.7345
7.2 2.08 11.0 378.8728
7.2 2.18 7.0 1794.175
7.2 2.18 7.5 1360.7005
7.2 2.18 8.0 1068.9063
7.2 2.18 8.5 864.3307
7.2 2.18 9.0 711.682
7.2 2.18 9.5 600.305
7.2 2.18 10.0 515.5693
7.2 2.18 10.5 449.0139
7.2 2.18 11.0 396.4392
7.2 2.28 7.0 1859.5599
7.2 2.28 7.5 1414.3874
7.2 2.28 8.0 1113.0207
7.2 2.28 8.5 900.9685
7.2 2.28 9.0 743.4371
7.2 2.28 9.5 627.1591
7.2 2.28 10.0 538.8394
7.2 2.28 10.5 469.2396
7.2 2.28 11.0 414.0015
7.2 2.38 7.0 1928.1709
7.2 2.38 7.5 1468.3228
7.2 2.38 8.0 1157.9615
7.2 2.38 8.5 938.4326
7.2 2.38 9.0 778.722
7.2 2.38 9.5 656.3013
7.2 2.38 10.0 563.7353
7.2 2.38 10.5 491.3242
7.2 2.38 11.0 433.2078
7.2 2.48 7.0 1995.6651
7.2 2.48 7.5 1523.8667
7.2 2.48 8.0 1203.5955
7.2 2.48 8.5 976.8039
7.2 2.48 9.0 807.1019
7.2 2.48 9.5 682.4298
7.2 2.48 10.0 587.4562
7.2 2.48 10.5 511.7232
7.2 2.48 11.0 451.1362
7.2 2.58 7.0 2064.8234
7.2 2.58 7.5 1579.6711
7.2 2.58 8.0 1249.5651
7.2 2.58 8.5 1015.3228
7.2 2.58 9.0 839.989
7.2 2.58 9.5 710.3064
7.2 2.58 10.0 611.5555
7.2 2.58 10.5 533.2866
7.2 2.58 11.0 469.7569
7.2 2.68 7.0 2134.8429
7.2 2.68 7.5 1636.1329
7.2 2.68 8.0 1296.6762
7.2 2.68 8.5 1055.2308
7.2 2.68 9.0 876.7418
7.2 2.68 9.5 739.7669
7.2 2.68 10.0 636.517
7.2 2.68 10.5 554.8905
7.2 2.68 11.0 489.4321
7.2 2.78 7.0 2206.6875
7.2 2.78 7.5 1693.3157
7.2 2.78 8.0 1343.8436
7.2 2.78 8.5 1095.0082
7.2 2.78 9.0 907.6789
7.2 2.78 9.5 769.7911
7.2 2.78 10.0 662.6551
7.2 2.78 10.5 577.9597
7.2 2.78 11.0 509.9197
7.2 2.88 7.0 2278.9571
7.2 2.88 7.5 1751.4389
7.2 2.88 8.0 1391.5903
7.2 2.88 8.5 1133.557
7.2 2.88 9.0 938.4853
7.2 2.88 9.5 796.7347
7.2 2.88 10.0 686.7062
7.2 2.88 10.5 599.2046
7.2 2.88 11.0 528.6243
7.2 2.98 7.0 2348.4531
7.2 2.98 7.5 1809.3286
7.2 2.98 8.0 1439.2352
7.2 2.98 8.5 1174.9657
7.2 2.98 9.0 974.3291
7.2 2.98 9.5 826.7983
7.2 2.98 10.0 712.5754
7.2 2.98 10.5 621.4071
7.2 2.98 11.0 548.4485
7.2 3.08 7.0 2422.548
7.2 3.08 7.5 1867.7078
7.2 3.08 8.0 1487.7183
7.2 3.08 8.5 1215.1643
7.2 3.08 9.0 1009.4273
7.2 3.08 9.5 856.7403
7.2 3.08 10.0 738.4324
7.2 3.08 10.5 644.4477
7.2 3.08 11.0 568.5018
7.2 3.18 7.0 2493.6471
7.2 3.18 7.5 1928.3653
7.2 3.18 8.0 1537.8984
7.2 3.18 8.5 1257.0161
7.2 3.18 9.0 1045.1359
7.2 3.18 9.5 888.7524
7.2 3.18 10.0 766.3939
7.2 3.18 10.5 668.5152
7.2 3.18 11.0 590.1203
7.2 3.28 7.0 2571.0473
7.2 3.28 7.5 1987.1455
7.2 3.28 8.0 1586.9524
7.2 3.28 8.5 1290.761
7.2 3.28 9.0 1080.5715
7.2 3.28 9.5 917.9178
7.2 3.28 10.0 791.6143
7.2 3.28 10.5 691.2357
7.2 3.28 11.0 610.0436
7.2 3.38 7.0 2645.2822
7.2 3.38 7.5 2046.8357
7.2 3.38 8.0 1636.5751
7.2 3.38 8.5 1334.462
7.2 3.38 9.0 1118.9891
7.2 3.38 9.5 949.5108
7.2 3.38 10.0 819.0316
7.2 3.38 10.5 715.1984
7.2 3.38 11.0 631.4051
7.2 3.48 7.0 2722.0668
7.2 3.48 7.5 2111.0564
7.2 3.48 8.0 1688.0663
7.2 3.48 8.5 1384.607
7.2 3.48 9.0 1152.2842
7.2 3.48 9.5 982.3646
7.2 3.48 10.0 845.8703
7.2 3.48 10.5 739.4151
7.2 3.48 11.0 653.4906
7.2 3.58 7.0 2797.6153
7.2 3.58 7.5 2169.9878
7.2 3.58 8.0 1727.7751
7.2 3.58 8.5 1427.164
7.2 3.58 9.0 1186.8327
7.2 3.58 9.5 1012.8582
7.2 3.58 10.0 872.0051
7.2 3.58 10.5 763.4112
7.2 3.58 11.0 673.8569
7.2 3.68 7.0 2875.1029
7.2 3.68 7.5 2234.7928
7.2 3.68 8.0 1791.8116
7.2 3.68 8.5 1459.9548
7.2 3.68 9.0 1223.4705
7.2 3.68 9.5 1042.68
7.2 3.68 10.0 900.4661
7.2 3.68 10.5 786.756
7.2 3.68 11.0 694.9797
7.2 3.78 7.0 2955.6039
7.2 3.78 7.5 2298.2453
7.2 3.78 8.0 1843.5881
7.2 3.78 8.5 1505.0874
7.2 3.78 9.0 1262.1211
7.2 3.78 9.5 1075.6311
7.2 3.78 10.0 928.9431
7.2 3.78 10.5 811.673
7.2 3.78 11.0 716.7674
7.2 3.88 7.0 3033.7519
7.2 3.88 7.5 2361.7266
7.2 3.88 8.0 1897.0867
7.2 3.88 8.5 1552.0662
7.2 3.88 9.0 1302.0695
7.2 3.88 9.5 1107.7522
7.2 3.88 10.0 957.585
7.2 3.88 10.5 836.6258
7.2 3.88 11.0 738.614
7.2 3.98 7.0 3112.277
7.2 3.98 7.5 2426.6343
7.2 3.98 8.0 1950.2092
7.2 3.98 8.5 1593.068
7.2 3.98 9.0 1337.0877
7.2 3.98 9.5 1141.3162
7.2 3.98 10.0 986.0094
7.2 3.98 10.5 861.2018
7.2 3.98 11.0 760.6544
7.4 1.98 7.0 1657.4882
7.4 1.98 7.5 1251.7975
7.4 1.98 8.0 979.0349
7.4 1.98 8.5 789.349
7.4 1.98 9.0 649.6497
7.4 1.98 9.5 547.3799
7.4 1.98 10.0 469.9063
7.4 1.98 10.5 409.049
7.4 1.98 11.0 360.36
7.4 2.08 7.0 1722.5649
7.4 2.08 7.5 1304.0781
7.4 2.08 8.0 1022.4801
7.4 2.08 8.5 825.4058
7.4 2.08 9.0 679.9175
7.4 2.08 9.5 572.9215
7.4 2.08 10.0 492.5258
7.4 2.08 10.5 428.89
7.4 2.08 11.0 377.9711
7.4 2.18 7.0 1786.5271
7.4 2.18 7.5 1356.0674
7.4 2.18 8.0 1066.2611
7.4 2.18 8.5 862.2311
7.4 2.18 9.0 709.907
7.4 2.18 9.5 599.3647
7.4 2.18 10.0 514.5721
7.4 2.18 10.5 448.2779
7.4 2.18 11.0 395.3933
7.4 2.28 7.0 1853.4982
7.4 2.28 7.5 1410.2105
7.4 2.28 8.0 1110.8569
7.4 2.28 8.5 898.9576
7.4 2.28 9.0 741.8211
7.4 2.28 9.5 625.9315
7.4 2.28 10.0 537.9652
7.4 2.28 10.5 468.6362
7.4 2.28 11.0 413.4156
7.4 2.38 7.0 1921.3642
7.4 2.38 7.5 1464.0252
7.4 2.38 8.0 1155.3504
7.4 2.38 8.5 936.7157
7.4 2.38 9.0 777.3988
7.4 2.38 9.5 654.52
7.4 2.38 10.0 562.4643
7.4 2.38 10.5 490.2773
7.4 2.38 11.0 432.1231
7.4 2.48 7.0 1988.5183
7.4 2.48 7.5 1518.4239
7.4 2.48 8.0 1200.3887
7.4 2.48 8.5 974.2224
7.4 2.48 9.0 805.0828
7.4 2.48 9.5 681.1274
7.4 2.48 10.0 585.9158
7.4 2.48 10.5 510.7016
7.4 2.48 11.0 450.4116
7.4 2.58 7.0 2058.4643
7.4 2.58 7.5 1575.2052
7.4 2.58 8.0 1246.3083
7.4 2.58 8.5 1012.512
7.4 2.58 9.0 837.204
7.4 2.58 9.5 709.4597
7.4 2.58 10.0 609.4609
7.4 2.58 10.5 531.3923
7.4 2.58 11.0 469.3835
7.4 2.68 7.0 2128.16
7.4 2.68 7.5 1631.0815
7.4 2.68 8.0 1292.825
7.4 2.68 8.5 1052.5049
7.4 2.68 9.0 874.9776
7.4 2.68 9.5 738.0375
7.4 2.68 10.0 635.1866
7.4 2.68 10.5 553.8948
7.4 2.68 11.0 488.8577
7.4 2.78 7.0 2197.1008
7.4 2.78 7.5 1687.7644
7.4 2.78 8.0 1339.9367
7.4 2.78 8.5 1092.0934
7.4 2.78 9.0 905.8042
7.4 2.78 9.5 766.8754
7.4 2.78 10.0 660.405
7.4 2.78 10.5 576.1011
7.4 2.78 11.0 508.2523
7.4 2.88 7.0 2269.1528
7.4 2.88 7.5 1746.1516
7.4 2.88 8.0 1388.1912
7.4 2.88 8.5 1129.8424
7.4 2.88 9.0 943.3031
7.4 2.88 9.5 795.561
7.4 2.88 10.0 685.4805
7.4 2.88 10.5 598.2104
7.4 2.88 11.0 527.7169
7.4 2.98 7.0 2341.35
7.4 2.98 7.5 1804.6186
7.4 2.98 8.0 1435.4755
7.4 2.98 8.5 1172.1761
7.4 2.98 9.0 972.1705
7.4 2.98 9.5 825.1296
7.4 2.98 10.0 711.2767
7.4 2.98 10.5 620.3958
7.4 2.98 11.0 547.3631
7.4 3.08 7.0 2413.3048
7.4 3.08 7.5 1861.6963
7.4 3.08 8.0 1483.7465
7.4 3.08 8.5 1212.8037
7.4 3.08 9.0 1007.1029
7.4 3.08 9.5 854.9692
7.4 3.08 10.0 736.8588
7.4 3.08 10.5 643.5209
7.4 3.08 11.0 567.663
7.4 3.18 7.0 2487.1893
7.4 3.18 7.5 1921.9732
7.4 3.18 8.0 1533.5074
7.4 3.18 8.5 1254.1046
7.4 3.18 9.0 1040.6461
7.4 3.18 9.5 886.9911
7.4 3.18 10.0 764.9136
7.4 3.18 10.5 666.1036
7.4 3.18 11.0 587.9423
7.4 3.28 7.0 2561.6629
7.4 3.28 7.5 1980.3525
7.4 3.28 8.0 1583.2409
7.4 3.28 8.5 1295.0456
