gunshot100% waist100%
10.96 0.5181
11.12 0.5397
7.24 0.2133
7.56 0.3113
7.8 0.3916
8.08 0.2421
10.44 0.3832
10.56 0.4112
10.76 0.4376
10.8 0.4427
10.96 0.4788
7.36 0.178
7.28 0.1863
7.64 0.3042
8.2 0.245
8.88 0.3834
8.88 0.3667
11.08 0.4943
11.16 0.5028
11.28 0.5168
6.32 0.6118
6.68 0.6526
7.0 0.6996
7.36 0.746
7.72 0.6975
9.16 0.7173
9.28 0.7225
9.48 0.743
18.92 0.7307
6.4 0.5964
6.68 0.628
7.08 0.6814
7.4 0.7283
17.08 0.6421
18.28 0.6441
18.04 0.715
9.64 0.7432
9.72 0.7423
6.48 0.5619
6.8 0.6169
7.12 0.6687
7.48 0.711
7.84 0.6724
17.44 0.7053
18.76 0.668
18.64 0.7112
18.56 0.7511
6.56 0.5438
6.84 0.5911
7.24 0.6555
7.52 0.6985
8.12 0.6926
18.04 0.6776
18.16 0.6981
9.44 0.6833
9.92 0.7367
6.56 0.508
6.88 0.5788
7.24 0.6317
7.6 0.6843
7.96 0.7383
9.48 0.6911
18.52 0.7074
9.72 0.7101
18.48 0.7403
6.6 0.4928
6.96 0.56
7.28 0.614
7.6 0.6747
8.16 0.656
17.64 0.6805
18.8 0.7181
17.68 0.7389
18.8 0.7058
6.68 0.4723
6.96 0.5379
7.28 0.5934
7.64 0.6522
7.96 0.612
8.44 0.6655
9.8 0.6699
9.96 0.6824
10.24 0.714
6.72 0.4547
7.04 0.5037
7.4 0.5668
7.72 0.6365
8.12 0.7029
9.8 0.6601
9.92 0.6606
10.08 0.6727
10.2 0.6806
6.72 0.4197
7.16 0.5182
7.4 0.5559
7.72 0.6183
8.12 0.58
8.52 0.641
10.08 0.686
10.2 0.683
10.32 0.6948
6.92 0.4405
7.24 0.5178
7.4 0.5342
9.92 0.7859
8.16 0.678
9.84 0.6358
10.08 0.6386
10.24 0.6446
10.4 0.6703
6.92 0.4039
7.24 0.5006
7.56 0.5623
7.8 0.5824
8.24 0.5492
8.6 0.6049
10.2 0.6323
10.32 0.6515
10.52 0.6608
6.88 0.3695
7.08 0.4161
7.6 0.5404
8.0 0.6032
8.4 0.5595
10.08 0.5954
10.28 0.6203
10.44 0.633
10.48 0.6204
7.04 0.3813
7.24 0.4306
7.6 0.5134
8.0 0.5849
9.96 0.5557
8.56 0.5573
10.28 0.5947
10.4 0.6092
10.64 0.6306
6.96 0.3412
7.4 0.4456
7.56 0.4751
7.96 0.5725
8.36 0.5212
10.16 0.5369
10.36 0.5509
10.44 0.5504
10.52 0.5708
6.92 0.2584
