gunshot100% waist100%
10.04 0.6941
6.64 0.464
7.0 0.5313
7.32 0.5902
7.64 0.648
8.04 0.7143
8.44 0.6511
9.92 0.698
10.04 0.6985
10.24 0.7267
6.68 0.4516
7.12 0.5308
7.36 0.575
7.72 0.6321
8.08 0.6973
9.76 0.6587
9.92 0.6622
10.04 0.6758
10.24 0.6818
6.88 0.4614
7.2 0.5258
7.48 0.5856
7.72 0.6164
8.08 0.6829
8.56 0.6368
10.08 0.6626
10.2 0.6758
10.4 0.6863
6.92 0.4363
7.2 0.5142
7.56 0.5777
7.76 0.6012
8.08 0.6709
9.92 0.6347
10.04 0.6568
10.28 0.6583
10.36 0.6656
6.88 0.4056
7.24 0.478
7.6 0.557
7.88 0.6269
8.48 0.6013
8.56 0.5885
10.2 0.6459
10.32 0.6322
10.48 0.6639
6.84 0.3585
7.28 0.4567
7.64 0.5387
7.96 0.6078
8.2 0.6371
10.08 0.6053
10.28 0.6247
10.36 0.618
10.36 0.6014
7.0 0.3734
7.2 0.4299
7.6 0.5009
8.0 0.5946
10.0 0.5711
8.6 0.5501
10.24 0.5842
10.48 0.6191
10.68 0.6194
6.92 0.3201
7.4 0.4367
7.6 0.4802
8.04 0.4229
8.44 0.5018
8.76 0.5708
10.44 0.57
10.56 0.5741
10.6 0.5885
7.16 0.3432
7.36 0.3941
7.76 0.4952
8.16 0.4448
8.56 0.5214
10.32 0.5643
10.48 0.5686
10.64 0.5867
10.64 0.5886
7.08 0.2672
7.32 0.3444
8.0 0.3895
8.48 0.4511
10.28 0.5048
8.88 0.5189
10.6 0.5331
10.6 0.5416
10.88 0.5484
7.2 0.2635
7.44 0.3502
7.68 0.4138
8.12 0.3514
8.56 0.4548
10.52 0.5108
10.68 0.5467
10.8 0.5578
10.92 0.5559
6.88 0.1808
7.32 0.2713
7.84 0.4294
8.04 0.4816
8.88 0.4738
10.6 0.5015
10.64 0.5107
10.88 0.5217
11.0 0.5628
7.08 0.1847
7.48 0.2823
8.0 0.223
8.56 0.3943
8.92 0.4596
10.6 0.4683
10.76 0.4952
11.04 0.5236
11.0 0.5244
7.2 0.1872
7.52 0.3189
7.84 0.3765
8.08 0.2376
8.56 0.3922
10.64 0.4484
10.76 0.4659
10.84 0.4812
11.0 0.4944
7.32 0.1888
7.28 0.1837
7.92 0.3928
8.16 0.2403
8.84 0.376
10.92 0.4797
11.0 0.4827
11.16 0.5072
11.2 0.5109
6.32 0.6074
6.64 0.6464
6.96 0.6944
7.32 0.7373
16.68 0.6909
17.36 0.7005
18.92 0.6724
18.8 0.6938
18.92 0.7381
6.4 0.5802
6.72 0.6194
7.08 0.6721
7.4 0.7181
18.28 0.7211
18.28 0.615
18.04 0.7215
9.56 0.7416
9.8 0.7591
6.48 0.5552
6.8 0.6049
7.16 0.6551
7.52 0.7105
7.8 0.663
17.64 0.7149
17.52 0.7285
18.76 0.7129
18.6 0.7531
6.52 0.5338
6.88 0.5948
7.24 0.6513
7.56 0.6992
16.8 0.6527
18.0 0.6679
9.64 0.7231
9.8 0.726
9.92 0.7271
6.52 0.5079
6.88 0.5701
7.2 0.6165
7.56 0.6795
7.92 0.7416
8.32 0.6825
18.4 0.689
18.32 0.7128
10.16 0.7353
6.6 0.4852
6.92 0.5502
7.28 0.5999
7.6 0.6627
8.0 0.7257
17.56 0.6797
9.8 0.7035
9.88 0.6949
10.04 0.7008
6.64 0.465
6.96 0.533
7.32 0.5918
7.72 0.5447
8.04 0.7163
8.44 0.6514
9.92 0.6909
10.08 0.7007
10.2 0.7214
6.68 0.4458
7.0 0.5073
7.36 0.5695
7.84 0.5693
8.08 0.6972
9.76 0.6614
9.92 0.6778
10.0 0.6595
10.24 0.6778
6.88 0.4621
7.2 0.526
7.48 0.5914
7.72 0.6134
8.12 0.6834
8.48 0.6475
10.08 0.6852
10.24 0.6844
10.32 0.6969
6.92 0.432
7.2 0.5123
7.56 0.5774
7.76 0.6068
8.16 0.6667
9.88 0.6135
10.08 0.6383
10.28 0.6578
10.32 0.6419
6.88 0.4039
7.24 0.4798
7.6 0.5569
7.76 0.5823
8.52 0.6
8.56 0.5881
10.2 0.6457
10.32 0.6341
16.64 0.6527
6.88 0.3665
7.28 0.4536
7.6 0.5388
7.96 0.606
8.16 0.636
10.08 0.6049
10.28 0.631
10.32 0.6107
10.36 0.609
6.96 0.3792
7.2 0.4254
7.56 0.5021
7.96 0.5698
10.0 0.5698
8.56 0.5642
10.24 0.6031
10.52 0.6286
10.64 0.6215
6.88 0.3345
7.36 0.4443
7.6 0.4788
7.92 0.5655
8.44 0.502
8.84 0.5642
10.4 0.5643
10.56 0.5739
10.72 0.6283
7.12 0.344
7.32 0.389
7.76 0.4912
8.12 0.4478
8.6 0.5123
10.28 0.5524
10.52 0.5722
10.64 0.581
10.68 0.5771
7.08 0.2701
7.28 0.3437
7.68 0.4638
8.28 0.4473
10.28 0.5047
10.52 0.513
10.56 0.5239
10.64 0.5315
10.88 0.5414
7.16 0.2692
7.4 0.3547
7.64 0.4156
8.12 0.3503
8.56 0.4576
10.52 0.5101
10.64 0.54
10.76 0.5454
10.92 0.5578
6.88 0.1854
7.32 0.28
7.8 0.4339
8.04 0.4861
8.84 0.4746
10.48 0.4519
10.68 0.4925
10.92 0.5374
11.0 0.5431
7.08 0.1805
7.48 0.2854
7.96 0.2301
8.48 0.3697
8.92 0.4659
10.64 0.4815
10.72 0.4845
11.04 0.5243
11.0 0.5245
7.24 0.1987
7.52 0.3209
7.84 0.3949
10.44 0.3886
10.48 0.3952
10.56 0.3977
10.68 0.4212
10.84 0.4592
11.04 0.4836
7.32 0.1888
7.28 0.1842
7.64 0.2985
8.12 0.2433
8.8 0.374
10.88 0.4709
9.24 0.4796
11.16 0.5098
11.2 0.5117
6.32 0.6005
6.64 0.6417
6.96 0.6932
7.36 0.7422
7.64 0.6948
18.8 0.7228
18.96 0.6615
18.92 0.7137
9.8 0.7806
6.36 0.5726
6.68 0.6204
7.08 0.672
7.44 0.7193
17.16 0.6522
18.28 0.724
18.08 0.7187
18.2 0.7411
18.36 0.7407
6.44 0.5558
6.8 0.6072
7.12 0.6562
7.52 0.7086
7.84 0.6707
17.64 0.7015
18.96 0.6543
18.64 0.7133
18.64 0.7382
6.48 0.535
6.88 0.5938
7.2 0.64
7.56 0.7022
16.8 0.651
18.0 0.6756
17.8 0.7279
9.8 0.7265
18.0 0.7285
6.52 0.5067
6.88 0.5698
7.2 0.6237
7.56 0.6849
7.92 0.7311
8.24 0.702
18.52 0.697
9.84 0.7091
10.12 0.7431
6.6 0.4837
6.92 0.5491
7.24 0.6083
7.6 0.6642
7.96 0.7273
17.48 0.668
9.76 0.6961
18.96 0.7053
10.08 0.7034
6.64 0.4646
6.96 0.5323
7.32 0.5943
7.76 0.537
8.04 0.7151
8.44 0.6548
18.2 0.6872
10.08 0.6999
10.24 0.7226
6.68 0.4515
7.04 0.5076
7.36 0.57
7.84 0.5679
8.24 0.6369
9.8 0.6693
9.96 0.6817
10.0 0.6643
10.24 0.6777
6.88 0.4611
7.16 0.5322
7.48 0.5887
7.72 0.6146
8.08 0.681
8.48 0.6423
10.08 0.6795
10.2 0.6766
11.56 0.6999
6.88 0.4285
7.2 0.5125
7.56 0.5798
7.76 0.6
8.16 0.6621
9.88 0.6179
10.12 0.6364
10.24 0.6487
10.28 0.6456
6.88 0.4055
7.24 0.4794
7.6 0.5508
7.92 0.6209
8.52 0.6015
8.56 0.5895
10.24 0.6547
10.36 0.6381
10.36 0.6371
6.84 0.3584
7.28 0.4507
7.6 0.5314
7.92 0.6136
8.16 0.6335
10.08 0.6052
10.24 0.6151
10.28 0.6013
10.4 0.6006
6.96 0.3734
7.24 0.4219
7.56 0.5029
7.92 0.5869
9.88 0.5439
8.6 0.5589
10.36 0.6117
10.52 0.6271
10.68 0.623
6.96 0.3182
7.4 0.4497
8.0 0.4303
8.24 0.5012
8.44 0.5036
8.8 0.5743
10.44 0.5709
10.6 0.5864
10.72 0.6344
7.16 0.3403
7.32 0.3993
7.76 0.4916
8.12 0.4366
8.6 0.5211
10.28 0.5607
9.04 0.5789
10.64 0.5806
10.64 0.5867
7.08 0.2701
7.32 0.3405
7.68 0.4634
8.24 0.4472
10.24 0.491
10.52 0.5155
10.6 0.5325
10.6 0.5133
10.88 0.5482
7.16 0.2733
7.4 0.3573
7.64 0.4212
8.12 0.3527
8.56 0.4593
10.52 0.5112
10.64 0.5266
10.76 0.537
10.92 0.5597
6.88 0.1855
7.56 0.3556
7.8 0.4313
8.08 0.4959
10.48 0.4694
10.48 0.452
10.68 0.495
10.88 0.5247
11.0 0.5452
7.08 0.1796
7.44 0.2902
8.0 0.2324
8.44 0.3713
8.88 0.4693
8.96 0.4851
10.8 0.5076
11.0 0.5193
11.08 0.5429
7.24 0.1982
7.52 0.3198
7.8 0.4151
10.44 0.3738
10.48 0.3928
10.6 0.4027
10.72 0.426
10.84 0.4491
11.08 0.4863
7.32 0.1925
7.28 0.1788
7.92 0.3889
8.16 0.2396
8.84 0.3723
10.92 0.4773
9.28 0.4741
11.2 0.5181
11.2 0.5077
